Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\VYLT_IOT_CCM\Project Outputs for VYLT_IOT_CCM\Pick Place\Pick Place for VYLT_IOT_CCM.csv

========================================================================================================================
File Design Information:

Date:       18-02-25
Time:       15:39
Revision:   6d0fcf2e3da5a5eebe4b985b0d0e21f4125c18e2
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C11","TopLayer","116.7096","74.4057","90","Chip Capacitor, 2-Leads, Body 0.60x0.30mm, IPC High Density"
"C10","TopLayer","114.3860","74.4057","90","Chip Capacitor, 2-Leads, Body 0.60x0.30mm, IPC High Density"
"C9","TopLayer","117.4895","74.4057","90","Chip Capacitor, 2-Leads, Body 0.60x0.30mm, IPC High Density"
"C13","TopLayer","116.7096","82.4500","90","Chip Capacitor, 2-Leads, Body 0.60x0.30mm, IPC High Density"
"C12","TopLayer","114.3860","82.4500","90","Chip Capacitor, 2-Leads, Body 0.60x0.30mm, IPC High Density"
"U6","BottomLayer","69.2500","24.0000","180","Voltage Level Translator Bidirectional 1 Circuit 8 Channel 60Mbps 20-TSSOP"
"D3","TopLayer","56.5000","3.7500","90","LED CLEAR 1206 SMD"
"R31","TopLayer","58.5000","8.5000","90","RES_0603"
"D2","TopLayer","58.5000","3.7500","90","LED CLEAR 1206 SMD"
"U3","TopLayer","78.5000","40.7500","315","FLASH - NOR Memory IC SPI - Quad I/O 133 MHz 8-SOIC"
"R22","TopLayer","74.7500","46.0000","225","RES_0603"
"R14","TopLayer","83.0605","31.7708","90","RES_0603"
"R13","TopLayer","81.3049","31.7708","90","RES_0603"
"R12","TopLayer","86.4692","31.7708","90","RES_0603"
"R11","TopLayer","89.7557","31.7708","90","RES_0603"
"R10","TopLayer","93.1554","31.7708","90","RES_0603"
"C19","TopLayer","91.4230","31.7708","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C18","TopLayer","88.1018","31.7708","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C17","TopLayer","84.7524","31.7708","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C16","TopLayer","79.5958","31.7708","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"R26","TopLayer","108.6880","34.4487","90","RES_0603"
"R25","TopLayer","112.1641","34.4487","90","RES_0603"
"R24","TopLayer","115.6402","34.4487","90","RES_0603"
"R23","TopLayer","117.3571","34.4487","90","RES_0603"
"R21","TopLayer","103.4770","34.4487","90","RES_0603"
"R20","TopLayer","105.2120","34.4487","90","RES_0603"
"R19","TopLayer","106.9711","34.4487","90","RES_0603"
"R18","TopLayer","101.7427","34.4487","90","RES_0603"
"R17","TopLayer","119.0880","34.4487","90","RES_0603"
"R16","TopLayer","113.9092","34.4487","90","RES_0603"
"R15","TopLayer","110.4471","34.4487","90","RES_0603"
"J20","TopLayer","108.4500","21.0000","0","9 (8 + 1) Position Card Connector Secure Digital - microSD™ Surface Mount, Right Angle Gold"
"C24","BottomLayer","105.3650","23.3934","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C23","BottomLayer","105.3650","21.5750","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C22","BottomLayer","105.3650","19.7150","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C21","BottomLayer","105.3650","17.9435","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"J17","TopLayer","64.2500","58.2500","0","2PX1R"
"R9","TopLayer","65.6364","51.9673","90","RES_0603"
"R6","TopLayer","56.7500","58.2100","90","RES_0603"
"J18","TopLayer","58.7564","52.0875","0","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Through Hole"
"U4","BottomLayer","69.2500","33.5000","180","Voltage Level Translator Bidirectional 1 Circuit 8 Channel 60Mbps 20-TSSOP"
"SW1","TopLayer","77.7500","6.2500","270","Tactile Switch SPST-NO Top Actuated Surface Mount"
"R39","TopLayer","97.1964","31.7708","90","RES_0603"
"R30","BottomLayer","75.3308","21.8206","90","RES_0603"
"R29","BottomLayer","77.1724","21.8206","90","RES_0603"
"R28","BottomLayer","75.3308","31.4140","90","RES_0603"
"R27","BottomLayer","77.2256","31.4140","90","RES_0603"
"Q2","BottomLayer","71.4000","13.6616","90","MMBT2222A"
"Q1","BottomLayer","71.4000","18.0000","90","MMBT2222A"
"C31","BottomLayer","65.4150","28.7500","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C30","BottomLayer","65.4150","38.4243","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C14","TopLayer","79.5000","47.2500","315","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C25","TopLayer","83.5000","42.0000","135","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C29","BottomLayer","75.3308","27.8320","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C28","BottomLayer","75.3308","36.7955","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"M1","TopLayer","97.5000","60.0000","45","LTE CAT1 MODEM 144 SMD"
"J3","BottomLayer","20.0000","83.0000","180","6PX1R Male Header"
"J8","BottomLayer","36.0000","83.0000","180","6PX1R Male Header"
"J2","BottomLayer","36.0000","80.0000","180","6PX1R Male Header"
"J4","BottomLayer","18.5000","7.5000","180","6PX1R Male Header"
"J1","BottomLayer","20.0000","80.0000","180","6PX1R Male Header"
"J7","BottomLayer","133.0000","57.0000","90","6PX1R Male Header"
"J6","BottomLayer","130.0000","57.0000","90","6PX1R Male Header"
"J5","BottomLayer","133.0000","30.0000","90","6PX1R Male Header"
"J9","BottomLayer","130.0000","30.0000","90","6PX1R Male Header"
